Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,OAuth2Utils,runningOnComputeEngine,Long Identifier,The length of the field COMPUTE_PING_CONNECTION_TIMEOUT_MS is 34.,71
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleCredential,fromStream,Long Statement,The length of the statement "throw new IOException(String.format("Error reading credentials from stream` 'type' value '%s' not recognized." + " Expecting '%s' or '%s'."`fileType`USER_FILE_TYPE`SERVICE_ACCOUNT_FILE_TYPE));" is 192.,211
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleCredential,GoogleCredential,Long Statement,The length of the statement "Preconditions.checkArgument(builder.serviceAccountId == null && builder.serviceAccountScopes == null && builder.serviceAccountUser == null);" is 140.,294
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleCredential,GoogleCredential,Long Statement,The length of the statement "serviceAccountScopes=(builder.serviceAccountScopes == null) ? Collections.<String>emptyList() : Collections.unmodifiableCollection(builder.serviceAccountScopes);" is 161.,294
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleCredential,setRefreshToken,Long Statement,The length of the statement "Preconditions.checkArgument(getJsonFactory() != null && getTransport() != null && getClientAuthentication() != null`"Please use the Builder and call setJsonFactory` setTransport and setClientSecrets");" is 201.,323
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleCredential,executeRefreshToken,Long Statement,The length of the statement "TokenRequest request=new TokenRequest(getTransport()`getJsonFactory()`new GenericUrl(getTokenServerEncodedUrl())`"urn:ietf:params:oauth:grant-type:jwt-bearer");" is 160.,348
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleCredential,executeRefreshToken,Magic Number,The method contains a magic number: 1000,348
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleCredential,executeRefreshToken,Magic Number,The method contains a magic number: 1000,348
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleCredential,executeRefreshToken,Magic Number,The method contains a magic number: 3600,348
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleCredential,toBuilder,Long Statement,The length of the statement "Builder builder=new GoogleCredential.Builder().setServiceAccountPrivateKey(serviceAccountPrivateKey).setServiceAccountPrivateKeyId(serviceAccountPrivateKeyId).setServiceAccountId(serviceAccountId).setServiceAccountProjectId(serviceAccountProjectId).setServiceAccountUser(serviceAccountUser).setServiceAccountScopes(serviceAccountScopes).setTokenServerEncodedUrl(getTokenServerEncodedUrl()).setTransport(getTransport()).setJsonFactory(getJsonFactory()).setClock(getClock());" is 473.,486
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleCredential,fromStreamUser,Complex Conditional,The conditional expression clientId == null || clientSecret == null || refreshToken == null is complex.,791
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleCredential,fromStreamUser,Long Statement,The length of the statement "throw new IOException("Error reading user credential from stream` " + " expecting 'client_id'` 'client_secret' and 'refresh_token'.");" is 134.,791
