Class,Assertion roulette,Conditional test logic,Constructor initialization,Eager test,Empty test,Exception handling,Ignored tests,Unknown test,Total
apache_storm.org.apache.storm.topology.WindowedBoltExecutor,1,0,0,1,0,2,0,1,5
apache_storm.org.apache.storm.windowing.persistence.SimpleWindowPartitionCache,7,0,0,3,0,0,0,1,11
apache_storm.org.apache.storm.topology.StatefulWindowedBoltExecutor,0,0,0,0,0,0,0,3,3
apache_storm.org.apache.storm.tuple.Tuple,0,0,0,0,0,0,0,6,6
apache_storm.org.apache.storm.metric.internal.LatencyStat,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.metric.internal.CountStat,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.metric.internal.RateTracker,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.metric.ClusterMetricsConsumerExecutor,2,0,0,0,0,0,0,0,2
apache_storm.org.apache.storm.bolt.JoinBolt,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.state.State,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.state.BaseStateIterator,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.state.Serializer,1,0,0,0,0,0,0,0,1
apache_storm.org.apache.storm.utils.DefaultShellLogHandler,0,0,0,0,0,0,0,4,4
apache_storm.org.apache.storm.utils.ShellBoltMessageQueue,3,0,0,2,0,0,0,0,5
apache_storm.org.apache.storm.utils.JCQueue,2,2,0,2,0,0,0,0,6
apache_storm.org.apache.storm.utils.CuratorUtils,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.utils.ShellUtils,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.utils.ThriftTopologyUtils,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.utils.SimpleVersion,6,0,0,6,0,0,0,0,12
apache_storm.org.apache.storm.Config,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.utils.ServerUtils,6,2,0,3,0,0,0,0,11
apache_storm.org.apache.storm.utils.EquivalenceUtils,3,0,0,2,0,0,0,0,5
apache_storm.org.apache.storm.utils.ZookeeperServerCnxnFactory,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.streams.StatefulProcessorBolt,1,0,0,0,0,0,0,0,1
apache_storm.org.apache.storm.streams.ProcessorBolt,3,0,0,1,0,0,0,0,4
apache_storm.org.apache.storm.streams.StreamBuilder,7,0,0,7,0,0,0,0,14
apache_storm.org.apache.storm.streams.Node,1,0,0,0,0,0,0,0,1
apache_storm.org.apache.storm.streams.WindowedProcessorBolt,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.scheduler.Cluster,1,1,0,1,0,0,0,0,3
apache_storm.org.apache.storm.spout.CheckpointSpout,7,0,0,7,0,0,0,0,14
apache_storm.org.apache.storm.security.auth.ClientAuthUtils,5,0,0,2,0,0,0,2,9
apache_storm.org.apache.storm.security.auth.AutoSSL,3,1,0,3,0,1,0,0,8
apache_storm.org.apache.storm.security.auth.ShellBasedGroupsMapping,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.security.auth.DefaultHttpCredentialsPlugin,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.security.auth.ServerAuthUtils,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.security.auth.KerberosPrincipalToLocal,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.security.auth.ThriftServer,2,0,0,1,0,0,0,0,3
apache_storm.org.apache.storm.security.auth.IAuthorizer,1,0,0,0,0,0,0,0,1
apache_storm.org.apache.storm.security.auth.authorizer.DRPCSimpleACLAuthorizer,1,0,0,0,0,0,0,0,1
apache_storm.org.apache.storm.generated.WorkerToken,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.generated.WorkerSummary,6,0,0,0,0,0,0,0,6
apache_storm.org.apache.storm.generated.ErrorInfo,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.cluster.IStormClusterState,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.daemon.metrics.ClientMetricsUtils,4,0,0,0,0,0,0,0,4
apache_storm.org.apache.storm.daemon.metrics.MetricsUtils,5,0,0,0,0,0,0,0,5
apache_storm.org.apache.storm.daemon.supervisor.Container,2,0,0,2,0,0,0,1,5
apache_storm.org.apache.storm.daemon.supervisor.Slot,9,0,0,8,0,0,0,0,17
apache_storm.org.apache.storm.generated.LocalAssignment,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.daemon.supervisor.BasicContainer,4,0,0,4,0,0,0,1,9
apache_storm.org.apache.storm.daemon.worker.LogConfigManager,2,0,0,2,0,0,0,2,6
apache_storm.org.apache.storm.generated.LogLevel,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.daemon.worker.BackPressureTracker,5,0,0,4,0,0,0,0,9
apache_storm.org.apache.storm.messaging.ConnectionWithStatus,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.tuple.Fields,7,0,0,0,0,0,0,0,7
apache_storm.org.apache.storm.executor.ExecutorTransfer,0,0,0,0,0,0,0,1,1
apache_storm.org.apache.storm.executor.error.ReportError,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.blobstore.ClientBlobStore,0,0,0,0,0,0,0,2,2
apache_storm.org.apache.storm.blobstore.BlobStore,0,0,0,0,0,0,0,2,2
apache_storm.org.apache.storm.blobstore.LocalFsBlobStoreSynchronizer,1,0,0,0,0,0,0,0,1
apache_storm.org.apache.storm.blobstore.BlobStoreUtils,1,0,0,1,0,0,0,6,8
apache_storm.org.apache.storm.blobstore.LocalFsBlobStore,0,0,0,0,0,0,0,1,1
apache_storm.org.apache.storm.serialization.SerializationFactory,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.serialization.GzipThriftSerializationDelegate,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.serialization.GzipBridgeThriftSerializationDelegate,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.serialization.ThriftSerializationDelegate,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.messaging.DeserializingConnectionCallback,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.grouping.ShuffleGrouping,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.grouping.CustomStreamGrouping,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.grouping.LoadAwareShuffleGrouping,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.daemon.GrouperFactory,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.dependency.DependencyUploader,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.dependency.DependencyPropertiesParser,2,0,0,0,0,0,0,0,2
apache_storm.org.apache.storm.trident.windowing.config.TumblingCountWindow,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.trident.windowing.InMemoryWindowsStore,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.generated.StormTopology,0,1,0,0,0,0,0,0,1
apache_storm.org.apache.storm.grouping.PartialKeyGrouping,3,0,0,3,0,0,0,0,6
apache_storm.org.apache.storm.submit.dependency.DependencyResolver,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.submit.dependency.AetherUtils,2,0,0,0,0,0,0,0,2
apache_storm.org.apache.storm.command.CLI,2,0,0,1,0,0,0,0,3
apache_storm.org.apache.storm.LocalCluster,2,0,0,1,0,0,0,0,3
apache_storm.org.apache.storm.Thrift,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.kafka.spout.internal.OffsetManager,5,0,0,5,0,0,0,0,10
apache_storm.org.apache.storm.kafka.spout.subscription.RoundRobinManualPartitioner,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.kafka.spout.subscription.NamedTopicFilter,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.kafka.spout.subscription.PatternTopicFilter,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.kafka.spout.trident.KafkaTridentSpoutBatchMetadata,3,0,0,3,0,0,0,0,6
apache_storm.org.apache.storm.kafka.spout.trident.KafkaTridentSpoutEmitter,6,0,0,6,0,0,0,2,14
apache_storm.org.apache.storm.kafka.spout.subscription.ManualPartitioner,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.kafka.spout.trident.KafkaTridentSpoutTopicPartition,0,0,0,0,0,0,0,1,1
apache_storm.org.apache.storm.kafka.spout.subscription.TopicFilter,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.hdfs.blobstore.HdfsBlobStoreImpl,1,1,0,1,0,0,0,0,3
apache_storm.org.apache.storm.jms.spout.JmsSpout,1,0,0,1,0,0,0,1,3
apache_storm.org.apache.storm.redis.state.RedisKeyValueStateProvider,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.redis.state.RedisKeyValueState,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.redis.common.adapter.RedisCommandsAdapterJedis,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.hdfs.bolt.format.SimpleFileNameFormat,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.hdfs.avro.AvroSchemaRegistry,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.hdfs.trident.format.SimpleFileNameFormat,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.jdbc.common.Util,1,0,0,0,0,0,0,0,1
apache_storm.org.apache.storm.jdbc.common.JdbcClient,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.rocketmq.DefaultMessageBodySerializer,1,0,0,0,0,0,0,0,1
apache_storm.org.apache.storm.rocketmq.bolt.RocketMqBolt,0,0,0,0,0,0,0,2,2
apache_storm.org.apache.storm.rocketmq.common.selector.DefaultTopicSelector,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.rocketmq.common.selector.FieldNameBasedTopicSelector,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.rocketmq.common.mapper.FieldNameBasedTupleToMessageMapper,1,0,0,1,0,0,0,0,2
