Repo,TotalTestabilitySmells,TestabilitySmellsDensity,TotalTests,TestDensity
FlexTradeUKLtd_jfixture,164,21.31,450,58.46
nosceon_titanite,55,8.55,81,12.60
naver_yobi,186,9.07,516,25.16
mulesoft-labs_rhinodo,16,6.60,12,4.95
release-engineering_pom-manipulation-ext,265,8.53,375,12.08
vert-x3_vertx-codegen,633,24.83,393,15.42
AdoptOpenJDK_mjprof,28,9.05,47,15.19
nhnopensource_volley-extensions,40,3.67,206,18.91
Netflix_dyno,45,2.02,107,4.79
super-csv_super-csv,123,5.67,459,21.16
recommenders_rival,198,20.51,35,3.63
OfficeDev_Office-365-SDK-for-Android,48,1.92,169,6.77
twitter_cloudhopper-commons,193,6.78,400,14.06
searchisko_elasticsearch-river-sysinfo,44,9.87,106,23.77
ObeoNetwork_UML-Designer,207,6.30,126,3.84
PasaLab_Tachyon-Perf,7,2.70,10,3.86
PaNaVTEC_Clean-Contacts,10,2.66,25,6.65
bodar_totallylazy,309,11.73,962,36.53
nutzam_ssdb4j,117,70.61,24,14.48
jenkinsci_acceptance-test-harness,147,6.12,336,14.00
sanity_quickml,416,24.45,103,6.05
swagger-api_swagger-parser,211,12.11,455,26.12
openMF_android-client,536,13.81,58,1.49
AzureAD_azure-activedirectory-library-for-android,352,15.30,338,14.69
Stratio_flume-ingestion,120,14.45,177,21.31
holyeye_spring-trace,18,15.29,5,4.25
spring-io_sagan,44,4.91,258,28.80
sonyxperiadev_gerrit-events,174,15.51,130,11.59
mybatis_ibatis-2,375,12.96,249,8.61
neo4j-contrib_cypher-dsl,135,4.97,298,10.98
nhl_link-rest,843,34.16,613,24.84
SeanTater_uncc2014watsonsim,19,3.19,40,6.71
pusher_pusher-websocket-java,22,3.87,183,32.17
OAuth-Apis_apis,85,13.78,86,13.94
google_closure-stylesheets,1223,29.35,2152,51.65
paksv_teamcity-azure-plugin,1,0.74,2,1.48
unitsofmeasurement_unit-api,74,13.94,138,25.99
reactive-streams_reactive-streams-jvm,16,1.41,264,23.23
filoghost_HolographicDisplays,57,3.88,3,0.20
real-logic_simple-binary-encoding,127,8.25,170,11.04
hal_circuit,83,3.43,26,1.07
gwizard_gwizard,29,18.59,6,3.85
hawkular_hawkular-metrics,162,9.41,160,9.29
silb_shiro-jersey,1,2.20,8,17.58
ampm_douban-fm-sdk,121,21.05,50,8.70
jelkosz_Kanbanik,52,4.42,9,0.76
nordicway_moji,1,1.05,15,15.76
marschall_threeten-jpa,79,22.55,62,17.69
ulyn_eos,101,4.81,8,0.38
serso_android-checkout,44,4.92,145,16.23
Stratio_stratio-deep,119,6.52,174,9.53
bryanreinero_Firehose,14,7.01,3,1.50
cglib_cglib,224,16.68,4,0.30
MSOpenTech_azure-activedirectory-library-for-android,352,15.30,338,14.69
fluo-io_fluo,785,34.52,261,11.48
ReactiveX_RxNetty,99,3.53,18,0.64
sequenceiq_sequenceiq-samples,16,4.59,15,4.30
telefonicaid_fiware-cygnus,157,3.34,606,12.90
libgdx_gdx-ai,101,4.76,10,0.47
groupon_odo,205,13.86,32,2.16
LucidWorks_spark-solr,14,3.17,45,10.17
wikimedia_search-highlighter,83,4.79,414,23.88
bodar_utterlyidle,336,23.26,490,33.92
pac4j_pac4j,1007,22.89,942,21.41
google_u2f-ref-code,33,9.71,50,14.71
michaelwittig_java-q,96,13.96,120,17.45
andytill_erlyberly,14,2.28,18,2.93
spring-cloud_spring-cloud-cli,5,2.00,38,15.19
