Repo,TotalTestabilitySmells,TotalTestSmells,LOC,NoOfTests,TyS_normalized, TS_normalized
apache_storm.org.apache.storm.scheduler.resource.RasNodes,1,2,101,1,9.900990099009901,2.0
apache_storm.org.apache.storm.scheduler.resource.normalization.NormalizedResources,2,5,342,23,5.847953216374269,0.21739130434782608
apache_storm.org.apache.storm.scheduler.resource.normalization.NormalizedResourceOffer,1,0,150,2,6.666666666666667,0.0
apache_storm.org.apache.storm.scheduler.resource.normalization.NormalizedResourceRequest,1,2,192,2,5.208333333333333,1.0
apache_storm.org.apache.storm.daemon.nimbus.Nimbus,54,2,0,2,0,1.0
apache_storm.org.apache.storm.localizer.LocalizedResourceRetentionSet,1,4,103,2,9.70873786407767,2.0
apache_storm.org.apache.storm.localizer.LocallyCachedBlob,3,6,312,3,9.615384615384615,2.0
apache_storm.org.apache.storm.localizer.AsyncLocalizer,9,15,572,8,15.734265734265735,1.875
apache_storm.org.apache.storm.flux.FluxBuilder,9,1,0,1,0,1.0
apache_storm.org.apache.storm.flux.Flux,3,1,136,1,22.058823529411764,1.0
apache_storm.org.apache.storm.sql.runtime.serde.avro.AvroSerializer,1,0,39,2,25.641025641025642,0.0
apache_storm.org.apache.storm.sql.StormSqlLocalClusterImpl,10,12,43,14,232.5581395348837,0.8571428571428571
jai-imageio_jai-imageio-jpeg2000.com.github.jaiimageio.jpeg2000.J2KImageWriteParam,2,3,252,2,7.936507936507937,1.5
renepickhardt_generalized-language-modeling-toolkit.de.typology.smoother.KneserNeySmoother,1,4,382,2,2.6178010471204187,2.0
NLPchina_nlp-lang.org.nlpcn.commons.lang.util.WordWeight,1,4,109,4,9.174311926605505,1.0
NLPchina_nlp-lang.org.nlpcn.commons.lang.util.FileFinder,1,1,94,1,10.638297872340425,1.0
NLPchina_nlp-lang.org.nlpcn.commons.lang.util.IOUtil,6,0,379,2,15.831134564643799,0.0
NLPchina_nlp-lang.org.nlpcn.commons.lang.util.WordAlert,12,1,218,1,55.04587155963303,1.0
