Class,TotalTestabilitySmells,TestabilitySmellsDensity,TotalTests,TestDensity
igniterealtime_Openfire.org.jivesoftware.openfire.admin.pubsub_002dnode_002dsummary_jsp,6,2.61,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.connection_002dsettings_002dexternal_002dcomponents_jsp,8,3.01,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.security_002dtruststore_jsp,5,2.22,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.security_002dkeystore_jsp,8,2.77,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.group_002dedit_jsp,13,3.37,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.session_002ddetails_jsp,8,2.56,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.security_002dcertificate_002ddetails_jsp,3,0.60,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.plugin_002dadmin_jsp,7,2.59,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.server_002dsession_002ddetails_jsp,1,0.30,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.dns_002dcheck_jsp,10,3.26,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.system_002dclustering_002ddata_002dconsistency_002dcheck_jsp,8,2.24,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.muc_002droom_002dedit_002dform_jsp,10,2.61,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.connection_002dsettings_002dadvanced_jsp,7,2.10,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.muc_002droom_002dfederation_jsp,5,2.06,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.setup.setup_002dadmin_002dsettings_jsp,8,3.18,0,0.00
seagate_kinetic-java.com.seagate.kinetic.batchOp.BatchBasicAPITest,106,42.45,0,0.00
seagate_kinetic-java.com.seagate.kinetic.boundary.KineticBoundaryTest,9,3.46,0,0.00
MyRobotLab_myrobotlab.org.myrobotlab.service.Mpu6050,2,0.79,0,0.00
MyRobotLab_myrobotlab.org.myrobotlab.service.Runtime,45,14.88,54,17.86
real-logic_Aeron.io.aeron.archive.client.AeronArchive,36,16.27,0,0.00
real-logic_Aeron.io.aeron.driver.MediaDriver.Context,2,0.87,0,0.00
real-logic_Aeron.io.aeron.cluster.ConsensusModule,86,35.36,0,0.00
apache_airavata.org.apache.airavata.sharing.registry.service.cpi.SharingRegistryService.AsyncProcessor,1,0.25,0,0.00
apache_airavata.org.apache.airavata.registry.api.RegistryService.Client,1,0.24,0,0.00
apache_airavata.org.apache.airavata.registry.api.RegistryService.AsyncClient,2,0.33,0,0.00
apache_airavata.org.apache.airavata.registry.api.RegistryService.Processor,1,0.22,0,0.00
apache_airavata.org.apache.airavata.registry.api.RegistryService.AsyncProcessor,1,0.07,0,0.00
apache_airavata.org.apache.airavata.api.Airavata.Client,1,0.17,0,0.00
apache_airavata.org.apache.airavata.api.Airavata.AsyncClient,2,0.31,0,0.00
apache_airavata.org.apache.airavata.api.Airavata.Processor,1,0.16,0,0.00
apache_airavata.org.apache.airavata.api.Airavata.AsyncProcessor,1,0.06,0,0.00
arangodb_arangodb-java-driver.com.arangodb.ArangoCollectionTest,91,45.00,0,0.00
marklogic_java-client-api.com.marklogic.client.expression.CtsExpr,1,0.42,0,0.00
ReactiveX_RxJava.io.reactivex.rxjava3.core.Maybe,1,0.39,0,0.00
ReactiveX_RxJava.io.reactivex.rxjava3.core.Single,1,0.42,0,0.00
ReactiveX_RxJava.io.reactivex.rxjava3.testsupport.TestHelper,2,0.67,0,0.00
VHAINNOVATIONS_InfoButtons-182.org.openinfobutton.schemas.kb.ProfileDefinition,1,0.45,0,0.00
bytedeco_javacpp.org.bytedeco.javacpp.tools.Parser,13,3.16,0,0.00
fiji_Trainable_Segmentation.trainableSegmentation.Weka_Segmentation,33,13.52,0,0.00
fiji_Trainable_Segmentation.trainableSegmentation.FeatureStack,25,11.09,0,0.00
OpenTOSCA_container.org.apache.axis.imapi.InstanceManagementStub,1,0.37,0,0.00
guardianproject_ChatSecureAndroid.info.guardianproject.otr.app.im.provider.Imps,136,63.61,0,0.00
softlayer_softlayer-java.com.softlayer.api.service.Ticket,1,0.49,0,0.00
softlayer_softlayer-java.com.softlayer.api.service.Account,1,0.09,0,0.00
softlayer_softlayer-java.com.softlayer.api.service.Account.ServiceAsync,1,0.41,0,0.00
softlayer_softlayer-java.com.softlayer.api.service.Hardware,1,0.19,0,0.00
softlayer_softlayer-java.com.softlayer.api.service.virtual.Guest,1,0.21,0,0.00
softlayer_softlayer-java.com.softlayer.api.service.user.Customer,1,0.29,0,0.00
softlayer_softlayer-java.com.softlayer.api.service.network.Storage,1,0.24,0,0.00
softlayer_softlayer-java.com.softlayer.api.service.hardware.Server,1,0.46,0,0.00
softlayer_softlayer-java.com.softlayer.api.service.product.Package,1,0.49,0,0.00
softlayer_softlayer-java.com.softlayer.api.service.billing.Item,1,0.43,0,0.00
rocketscience-projects_javaslang.io.vavr.API,1,0.21,0,0.00
kuali_kc.org.kuali.kra.coi.disclosure.CoiDisclosureServiceImpl,2,0.97,0,0.00
kuali_kc.org.kuali.kra.award.home.Award,16,7.41,0,0.00
kuali_kc.org.kuali.kra.protocol.actions.ActionHelperBase,1,0.50,0,0.00
kuali_kc.org.kuali.kra.irb.actions.ProtocolProtocolActionsAction,1,0.44,0,0.00
kuali_kc.org.kuali.kra.award.printing.xmlstream.AwardBaseStream,1,0.50,0,0.00
Netflix_dyno.com.netflix.dyno.jedis.DynoJedisPipeline,1,0.45,0,0.00
Netflix_dyno.com.netflix.dyno.jedis.DynoJedisClient,1,0.29,0,0.00
jOOQ_jOOL.org.jooq.lambda.Seq,10,2.07,0,0.00
swagger-api_swagger-parser.io.swagger.v3.parser.util.OpenAPIDeserializer,1,0.28,6,1.66
hyperic_hq.org.hyperic.hq.measurement.server.session.DataManagerImpl,2,0.96,0,0.00
hyperic_hq.com.xensource.xenapi.VM,1,0.31,0,0.00
primecloud-controller-org_primecloud-controller.jp.primecloud.auto.ui.WinServerEdit,1,0.46,0,0.00
primecloud-controller-org_primecloud-controller.jp.primecloud.auto.service.impl.InstanceServiceImpl,2,0.77,0,0.00
Talend_tcommon-studio-se.org.talend.designer.runprocess.ProcessorUtilities,7,3.37,0,0.00
Talend_tcommon-studio-se.org.talend.core.model.metadata.designerproperties.RepositoryToComponentProperty,1,0.36,0,0.00
Talend_tcommon-studio-se.org.talend.designer.core.model.utils.emf.component.impl.ComponentPackageImpl,1,0.38,0,0.00
Talend_tcommon-studio-se.org.talend.core.model.properties.impl.PropertiesPackageImpl,1,0.17,0,0.00
Talend_tcommon-studio-se.org.talend.core.model.metadata.builder.connection.impl.ConnectionPackageImpl,1,0.21,0,0.00
Talend_tcommon-studio-se.org.jfree.chart.renderer.AbstractRenderer,8,2.99,0,0.00
Talend_tcommon-studio-se.org.jfree.chart.plot.XYPlot,6,1.55,0,0.00
Talend_tcommon-studio-se.org.jfree.chart.plot.CategoryPlot,9,2.75,0,0.00
Talend_tcommon-studio-se.org.jfree.chart.plot.PiePlot,11,4.59,0,0.00
Talend_tcommon-studio-se.org.talend.repository.ui.wizards.metadata.table.database.SelectorTableForm,1,0.45,0,0.00
Talend_tcommon-studio-se.org.talend.repository.ui.wizards.metadata.connection.database.DatabaseForm,1,0.13,0,0.00
payara_Payara.com.sun.enterprise.web.WebContainer,50,22.43,0,0.00
payara_Payara.org.glassfish.web.loader.WebappClassLoader,2,0.80,2,0.80
payara_Payara.org.apache.catalina.connector.Request,26,9.36,0,0.00
payara_Payara.org.apache.catalina.core.StandardContext,33,6.02,1,0.18
payara_Payara.com.sun.ejb.containers.BaseContainer,5,1.64,0,0.00
datanucleus_datanucleus-core.org.datanucleus.ExecutionContextImpl,173,47.42,1,0.27
datanucleus_datanucleus-core.org.datanucleus.metadata.AbstractMemberMetaData,66,29.68,0,0.00
datanucleus_datanucleus-core.org.datanucleus.metadata.AbstractClassMetaData,56,20.03,0,0.00
apache_stratos.org.apache.stratos.rest.endpoint.api.StratosApiV41Utils,5,1.71,0,0.00
KronicDeth_intellij-elixir.org.elixir_lang.parser.ElixirParser,1,0.30,0,0.00
freemarker_fmpp.fmpp.setting.Settings,90,35.93,0,0.00
gridkit_nanocloud.com.jcraft.jsch.ChannelSftp,12,5.02,0,0.00
pusher_pusher-http-java.com.pusher.rest.crypto.nacl.TweetNaclFast,19,8.13,0,0.00
Stratio_stratio-cassandra.org.apache.cassandra.thrift.Cassandra.AsyncProcessor,1,0.37,0,0.00
Stratio_stratio-cassandra.org.apache.cassandra.service.StorageService,3,1.17,0,0.00
codefollower_Tomcat-Research.org.apache.catalina.connector.Request,144,64.09,44,19.58
codefollower_Tomcat-Research.org.apache.catalina.core.StandardContext,98,24.60,62,15.56
wildfly_wildfly-core.org.jboss.as.cli.impl.CommandContextImpl,23,11.19,2,0.97
wildfly_wildfly-core.org.jboss.as.controller.OperationContextImpl,35,16.69,0,0.00
wildfly_wildfly-core.org.jboss.as.controller.logging.ControllerLogger_$logger,1,0.31,0,0.00
jagornet_dhcp.com.jagornet.dhcp.server.config.DhcpServerConfiguration,1,0.49,0,0.00
emicklei_rendersnake.org.rendersnake.HtmlAttributes,1,0.49,0,0.00
emicklei_rendersnake.org.rendersnake.HtmlCanvas,4,1.02,0,0.00
OpenSilk_Orpheus.com.andrew.apollo.MusicPlaybackService,40,17.87,0,0.00
Wolfgang-Schuetzelhofer_jcypher.iot.jcypher.domainquery.internal.QueryExecutor,6,2.41,0,0.00
Wolfgang-Schuetzelhofer_jcypher.iot.jcypher.domainquery.internal.QueryExecutor.QueryBuilder,1,0.49,0,0.00
Wolfgang-Schuetzelhofer_jcypher.iot.jcypher.domain.internal.DomainAccess,3,0.90,0,0.00
netizen539_civcraft.com.avrgaming.civcraft.object.Town,134,57.26,0,0.00
wso2_siddhi.io.siddhi.query.compiler.internal.SiddhiQLBaseVisitorImpl,11,5.12,0,0.00
Talend_tdi-studio-se.org.talend.designer.core.ui.editor.properties.controllers.AbstractElementPropertySectionController,2,0.90,0,0.00
Talend_tdi-studio-se.org.talend.designer.core.ui.editor.process.Process,9,2.38,0,0.00
Talend_tdi-studio-se.org.talend.designer.webservice.ui.WebServiceUI,1,0.31,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.xrm._2011.metadata.EntityMetadata,1,0.44,0,0.00
Talend_tdi-studio-se.org.talend.mdm.webservice.XtentisBindingStub,1,0.09,0,0.00
Talend_tdi-studio-se.org.talend.mdm.webservice.ObjectFactory,1,0.19,0,0.00
Talend_tdi-studio-se.org.talend.sugarws.SugarsoapBindingStub,1,0.39,0,0.00
Talend_tdi-studio-se.com.netsuite.webservices.platform.common.TransactionSearchBasic,1,0.21,0,0.00
Talend_tdi-studio-se.com.netsuite.webservices.platform.common.CustomerSearchBasic,1,0.44,0,0.00
Talend_tdi-studio-se.com.netsuite.webservices.platform.common.OriginatingLeadSearchBasic,1,0.44,0,0.00
Talend_tdi-studio-se.com.netsuite.webservices.platform.common.ItemSearchBasic,1,0.25,0,0.00
Talend_tdi-studio-se.com.netsuite.webservices.lists.accounting.NonInventoryResaleItem,1,0.46,0,0.00
Talend_tdi-studio-se.com.netsuite.webservices.lists.accounting.InventoryItem,1,0.31,0,0.00
Talend_tdi-studio-se.com.netsuite.webservices.lists.accounting.SerializedInventoryItem,1,0.33,0,0.00
Talend_tdi-studio-se.com.netsuite.webservices.lists.accounting.LotNumberedAssemblyItem,1,0.34,0,0.00
Talend_tdi-studio-se.com.netsuite.webservices.lists.accounting.AssemblyItem,1,0.34,0,0.00
Talend_tdi-studio-se.com.netsuite.webservices.lists.accounting.ObjectFactory,1,0.47,0,0.00
Talend_tdi-studio-se.com.netsuite.webservices.lists.accounting.SerializedAssemblyItem,1,0.33,0,0.00
Talend_tdi-studio-se.com.netsuite.webservices.lists.accounting.LotNumberedInventoryItem,1,0.32,0,0.00
Talend_tdi-studio-se.com.netsuite.webservices.transactions.sales.CashSale,1,0.44,0,0.00
Talend_tdi-studio-se.com.netsuite.webservices.transactions.sales.SalesOrder,1,0.49,0,0.00
Talend_tdi-studio-se.com.netsuite.webservices.transactions.sales.Invoice,1,0.50,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.Lead,2,0.82,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.Contact,2,0.63,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.Account,2,0.72,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.Systemuser,2,0.92,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.Organization,1,0.36,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.ContractImpl,1,0.40,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.ContactImpl,1,0.11,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.LetterImpl,1,0.47,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.LeadImpl,1,0.14,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.SalesorderdetailImpl,1,0.29,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.SystemuserImpl,1,0.16,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.InvoicedetailImpl,1,0.29,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.CampaignImpl,1,0.42,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.AccountImpl,1,0.13,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.OpportunityproductImpl,1,0.48,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.OpportunityImpl,1,0.47,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.ServiceappointmentImpl,1,0.49,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.QuotedetailImpl,1,0.31,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.ImportfileImpl,1,0.44,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.FaxImpl,1,0.44,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.AppointmentImpl,1,0.46,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.CompetitorImpl,1,0.21,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.CampaignactivityImpl,1,0.41,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.AsyncoperationImpl,1,0.48,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.QuoteImpl,1,0.21,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.ReportImpl,1,0.50,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.EmailImpl,1,0.36,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.InvoiceImpl,1,0.23,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.ProductImpl,1,0.42,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.CampaignresponseImpl,1,0.36,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.IncidentImpl,1,0.48,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.SalesorderImpl,1,0.20,0,0.00
Talend_tdi-studio-se.com.microsoft.schemas.crm._2007.webservices.impl.ContractdetailImpl,1,0.40,0,0.00
Talend_tdi-studio-se.com.microsoft.crm4.webserviceTest.CrmServiceStub,1,0.37,0,0.00
Talend_tdi-studio-se.org.talend.repository.ui.login.LoginComposite,7,3.39,0,0.00
Talend_tdi-studio-se.org.talend.repository.ui.login.LoginProjectPage,1,0.43,0,0.00
wso2_carbon-identity.org.wso2.carbon.identity.sso.saml.stub.IdentitySAMLSSOConfigServiceStub,10,4.78,0,0.00
wso2_carbon-identity.org.wso2.carbon.humantask.stub.ui.task.client.api.HumanTaskClientAPIAdminStub,77,4.01,0,0.00
wso2_carbon-identity.org.wso2.carbon.identity.entitlement.stub.EntitlementPolicyAdminServiceStub,29,6.44,0,0.00
wso2_carbon-identity.org.wso2.carbon.identity.entitlement.stub.EntitlementAdminServiceStub,20,7.33,0,0.00
wso2_carbon-identity.org.wso2.carbon.identity.provider.openid.stub.OpenIDProviderServiceStub,17,4.72,0,0.00
wso2_carbon-identity.org.apache.axis2.context.xsd.MessageContext,3,0.96,0,0.00
wso2_carbon-identity.org.apache.axis2.engine.xsd.AxisConfiguration,3,1.32,0,0.00
wso2_carbon-identity.org.apache.axis2.description.xsd.AxisService,3,0.95,0,0.00
wso2_carbon-identity.org.wso2.carbon.idp.mgt.stub.IdentityProviderMgtServiceStub,12,5.68,0,0.00
wso2_carbon-identity.org.wso2.carbon.identity.oauth.stub.OAuthAdminServiceStub,11,5.49,0,0.00
wso2_carbon-identity.org.wso2.carbon.identity.user.profile.stub.UserProfileMgtServiceStub,14,5.46,0,0.00
wso2_carbon-identity.org.wso2.carbon.identity.workflow.mgt.stub.WorkflowAdminServiceStub,20,5.44,0,0.00
wso2_carbon-identity.org.wso2.carbon.identity.application.mgt.stub.IdentityApplicationManagementServiceStub,11,5.48,0,0.00
wso2_carbon-identity.org.wso2.carbon.identity.entitlement.ui.util.PolicyEditorUtil,1,0.47,0,0.00
wso2_carbon-identity.org.wso2.carbon.identity.application.mgt.dao.impl.ApplicationDAOImpl,1,0.49,0,0.00
jindrapetrik_jpexs-decompiler.com.jpexs.decompiler.flash.gui.ImagePanel,21,10.34,0,0.00
jindrapetrik_jpexs-decompiler.com.jpexs.decompiler.flash.gui.MainPanel,67,20.50,0,0.00
jindrapetrik_jpexs-decompiler.com.jpexs.decompiler.flash.gui.Main,85,37.61,0,0.00
jindrapetrik_jpexs-decompiler.com.jpexs.decompiler.flash.xfl.XFLConverter,25,6.79,0,0.00
jindrapetrik_jpexs-decompiler.com.jpexs.decompiler.flash.abc.avm2.parser.script.AVM2SourceGenerator,37,16.68,0,0.00
jindrapetrik_jpexs-decompiler.com.jpexs.decompiler.graph.Graph,15,5.53,0,0.00
sarl_sarl.io.sarl.lang.mwe2.codebuilder.fragments.DocumentationBuilderFragment,16,5.96,0,0.00
sarl_sarl.io.sarl.lang.validation.SARLValidator,2,0.92,0,0.00
sarl_sarl.io.sarl.maven.docs.parser.SarlDocumentationParser,4,1.61,0,0.00
apache_incubator-brooklyn.org.apache.brooklyn.location.jclouds.JcloudsLocation,7,3.09,0,0.00
juniversal_juniversal.java.lang.Character,197,78.39,0,0.00
aol_simple-react.cyclops.reactive.ReactiveSeq,6,2.90,0,0.00
cloud-software-foundation_c5.org.apache.hadoop.hbase.HBaseTestingUtility,15,6.55,0,0.00
cloud-software-foundation_c5.org.apache.hadoop.hbase.master.HMaster,2,0.98,0,0.00
cloud-software-foundation_c5.org.apache.hadoop.hbase.util.HBaseFsck,3,1.06,0,0.00
openlvc_portico.org.portico.impl.hla1516.Rti1516Ambassador,1,0.46,0,0.00
openlvc_portico.org.portico.impl.hla13.RtiJava1Ambassador,1,0.34,0,0.00
openlvc_portico.org.portico.impl.hla13.Rti13Ambassador,1,0.34,0,0.00
openlvc_portico.org.portico.impl.hla1516e.Rti1516eAmbassador,1,0.40,0,0.00
BranchMetrics_Branch-Android-SDK.io.branch.referral.Branch,35,13.43,0,0.00
mrniko_redisson.org.redisson.jcache.JCache,120,58.00,0,0.00
Poweruser_MinetickMod.net.minecraft.server.World,1,0.42,0,0.00
allanbank_mongodb-async-driver.com.allanbank.mongodb.builder.ConditionBuilder,29,13.15,273,123.81
inductiveautomation_opc-ua-stack.com.digitalpetri.opcua.stack.core.Identifiers,5785,999.14,0,0.00
pietermartin_sqlg.org.umlg.sqlg.sql.parse.SchemaTableTree,351,140.40,0,0.00
Realm_realm-java.io.realm.some_test_AllTypesRealmProxy,5,1.08,0,0.00
Realm_realm-java.io.realm.some_test_NullTypesRealmProxy,2,0.43,0,0.00
jayway_powermock.org.powermock.reflect.internal.WhiteboxImpl,1,0.48,0,0.00
haifengl_smile.smile.math.MathEx,11,2.88,0,0.00
haifengl_smile.smile.math.matrix.fp32.Matrix,1,0.45,0,0.00
haifengl_smile.smile.math.matrix.Matrix,1,0.46,0,0.00
haifengl_smile.smile.math.matrix.BigMatrix,1,0.45,0,0.00
haifengl_smile.smile.math.blas.LAPACK,1,0.46,0,0.00
immutables_immutables.org.immutables.value.processor.meta.ImmutableProto,1,0.33,0,0.00
immutables_immutables.org.immutables.value.processor.meta.StyleMirror,2,0.39,0,0.00
vert-x3_vertx-rx.io.vertx.reactivex.codegen.testmodel.NullableTCK,2,0.75,0,0.00
vert-x3_vertx-rx.io.vertx.rxjava3.codegen.testmodel.NullableTCK,2,0.81,0,0.00
vert-x3_vertx-rx.io.vertx.rxjava3.redis.client.RedisAPI,1,0.12,0,0.00
vert-x3_vertx-rx.io.vertx.reactivex.redis.client.RedisAPI,1,0.08,0,0.00
vert-x3_vertx-rx.io.vertx.reactivex.ext.consul.ConsulClient,2,0.82,0,0.00
vert-x3_vertx-rx.io.vertx.rxjava.redis.client.RedisAPI,1,0.08,0,0.00
vert-x3_vertx-rx.io.vertx.rxjava.ext.consul.ConsulClient,2,0.82,0,0.00
vert-x3_vertx-rx.io.vertx.rxjava.codegen.testmodel.NullableTCK,2,0.75,0,0.00
mucommander_mucommander.org.icepdf.ri.common.SwingController,8,2.29,0,0.00
mucommander_mucommander.org.icepdf.core.pobjects.fonts.ofont.Encoding,2,0.79,0,0.00
bnjmn_weka.weka.gui.explorer.ClassifierPanelRemoteLauncher,1,0.49,0,0.00
bnjmn_weka.weka.gui.beans.KnowledgeFlowApp,4,0.83,0,0.00
bnjmn_weka.weka.classifiers.bayes.net.GUI,1,0.32,0,0.00
bnjmn_weka.weka.classifiers.bayes.net.EditableBayesNet,1,0.43,0,0.00
bnjmn_weka.weka.classifiers.functions.MultilayerPerceptronCS,1,0.45,0,0.00
bnjmn_weka.weka.classifiers.evaluation.Evaluation,2,0.58,0,0.00
bnjmn_weka.weka.filters.supervised.attribute.TSLagMaker,1,0.38,0,0.00
bnjmn_weka.weka.core.WekaPackageManager,25,11.32,0,0.00
bitcoinj_bitcoinj.org.bitcoin.protocols.payments.Protos,21,7.23,0,0.00
TeamBliss-LP_android_frameworks_base.android.app.ActivityManagerNative,1,0.44,0,0.00
TeamBliss-LP_android_frameworks_base.android.app.ActivityManagerNative.ActivityManagerProxy,1,0.36,0,0.00
TeamBliss-LP_android_frameworks_base.com.android.server.MountService,32,13.21,0,0.00
TeamBliss-LP_android_frameworks_base.com.android.server.InputMethodManagerService,1,0.36,0,0.00
TeamBliss-LP_android_frameworks_base.com.android.server.appwidget.AppWidgetServiceImpl,5,1.73,0,0.00
TeamBliss-LP_android_frameworks_base.com.android.server.pm.Settings,4,1.28,0,0.00
TeamBliss-LP_android_frameworks_base.com.android.server.content.SyncStorageEngine,22,9.32,0,0.00
TeamBliss-LP_android_frameworks_base.com.android.server.am.ActivityStackSupervisor,2,0.65,0,0.00
TeamBliss-LP_android_frameworks_base.com.android.server.devicepolicy.DevicePolicyManagerService,2,0.44,0,0.00
TeamBliss-LP_android_frameworks_base.android.provider.Settings.System,579,176.96,0,0.00
TeamBliss-LP_android_frameworks_base.android.app.admin.DevicePolicyManager,57,23.60,0,0.00
TeamBliss-LP_android_frameworks_base.android.content.pm.PackageParser,14,3.70,0,0.00
