Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,YamlInstanceConfigurationTest,multipleClusters,Magic Number,The method contains a magic number: 4321,38
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,YamlInstanceConfigurationTest,multipleClusters,Magic Number,The method contains a magic number: 9876,38
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,YamlInstanceConfigurationTest,selfReference,Long Statement,The length of the statement "final YamlInstanceConfiguration configuration=configFactory.build(new File(Resources.getResource("turbineConfigurations/selfReference.yml").toURI()));" is 150.,60
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,YamlInstanceConfigurationTest,selfReference,Long Statement,The length of the statement "assertThat(configuration.getClusters()).isEqualTo(ImmutableMap.of("one"`new YamlInstanceConfiguration.Cluster(ImmutableSet.of(HostAndPort.fromParts("localhost"`1234))`ImmutableSet.of("one"))));" is 193.,60
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,YamlInstanceConfigurationTest,selfReference,Magic Number,The method contains a magic number: 1234,60
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,YamlInstanceConfigurationTest,urlSuffix,Long Statement,The length of the statement "final YamlInstanceConfiguration configuration=configFactory.build(new File(Resources.getResource("turbineConfigurations/urlSuffix.yml").toURI()));" is 146.,71
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,MarathonInstanceDiscoveryTest,setUp,Magic Number,The method contains a magic number: 8080,28
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,MarathonInstanceDiscoveryTest,testCreateServiceInstanceList,Long Statement,The length of the statement "List<Instance> instanceList=marathonInstanceDiscovery.createServiceInstanceList(FixtureHelpers.fixture("fixtures/marathonClientResponse.json")`marathonClientConfiguration);" is 172.,38
yammer_breakerbox,com.netflix.hystrix.dashboard.stream,ProxyStreamServlet,doGet,Complex Method,Cyclomatic complexity of the method is 14,36
yammer_breakerbox,com.netflix.hystrix.dashboard.stream,ProxyStreamServlet,doGet,Empty catch clause,The method has an empty catch block.,36
yammer_breakerbox,com.netflix.hystrix.dashboard.stream,ProxyStreamServlet,doGet,Magic Number,The method contains a magic number: 500,36
yammer_breakerbox,com.netflix.hystrix.dashboard.stream,ProxyStreamServlet,doGet,Magic Number,The method contains a magic number: 10,36
yammer_breakerbox,com.netflix.hystrix.dashboard.stream,MockStreamServlet,doGet,Complex Method,Cyclomatic complexity of the method is 8,27
yammer_breakerbox,com.netflix.hystrix.dashboard.stream,MockStreamServlet,doGet,Empty catch clause,The method has an empty catch block.,27
yammer_breakerbox,com.netflix.hystrix.dashboard.stream,MockStreamServlet,doGet,Magic Number,The method contains a magic number: 500,27
yammer_breakerbox,com.yammer.breakerbox.service.resources,ArchaiusResource,getServiceConfigurations,Long Statement,The length of the statement "final Optional<DependencyModel> dependencyEntity=breakerboxStore.retrieveLatest(propertyKey.getDependencyId()`serviceId);" is 121.,29
