Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
xp,com.enonic.wem.core.schema.relationship.dao,RelationshipTypeDaoImpl,relationshipTypeExists,Long Statement,The length of the statement "return isDirectory(relationshipPath) && isRegularFile(relationshipPath.resolve(relationshipPath.resolve(RELATIONSHIP_TYPE_XML)));" is 129.,113
xp,com.enonic.wem.core.schema.relationship.dao,RelationshipTypeDaoImpl,readRelationshipType,Long Statement,The length of the statement "final boolean isRelationshipDir=isDirectory(relationshipPath) && isRegularFile(relationshipPath.resolve(RELATIONSHIP_TYPE_XML));" is 128.,120
xp,com.enonic.wem.core.schema.relationship,GetAllRelationshipTypesCommandTest,getAllRelationshipTypes,Long Statement,The length of the statement "final RelationshipType relationshipType=RelationshipType.newRelationshipType().name("mymodule-1.0.0:like").fromSemantic("likes").toSemantic("liked by").addAllowedFromType(ContentTypeName.from("mymodule-1.0.0:person")).addAllowedToType(ContentTypeName.from("mymodule-1.0.0:person")).build();" is 290.,17
xp,com.enonic.wem.core.schema.relationship,GetAllRelationshipTypesCommandTest,getAllRelationshipTypes,Long Statement,The length of the statement "final RelationshipType relationshipType2=RelationshipType.newRelationshipType().name("mymodule-1.0.0:hate").fromSemantic("hates").toSemantic("hated by").addAllowedFromType(ContentTypeName.from("mymodule-1.0.0:person")).addAllowedToType(ContentTypeName.from("mymodule-1.0.0:person")).build();" is 291.,17
xp,com.enonic.wem.core.schema.relationship,GetAllRelationshipTypesCommandTest,getAllRelationshipTypes,Magic Number,The method contains a magic number: 2,17
xp,com.enonic.wem.core.schema.relationship,UpdateRelationshipTypeCommandTest,before,Magic Number,The method contains a magic number: 2012,30
xp,com.enonic.wem.core.schema.relationship,UpdateRelationshipTypeCommandTest,before,Magic Number,The method contains a magic number: 12,30
xp,com.enonic.wem.core.schema.relationship,UpdateRelationshipTypeCommandTest,updateRelationshipType,Long Statement,The length of the statement "RelationshipType.Builder relationshipType=RelationshipType.newRelationshipType().name("mymodule-1.0.0:like").fromSemantic("likes").toSemantic("liked by").addAllowedFromType(ContentTypeName.from("mymodule-1.0.0:person")).addAllowedToType(ContentTypeName.from("mymodule-1.0.0:person")).createdTime(Instant.now()).modifiedTime(Instant.now());" is 339.,47
xp,com.enonic.wem.core.schema.relationship,UpdateRelationshipTypeCommandTest,updateRelationshipType,Long Statement,The length of the statement "final UpdateRelationshipTypeParams params=new UpdateRelationshipTypeParams().name(RelationshipTypeName.from("system-0.0.0:like")).editor(new RelationshipTypeEditor(){" is 166.,47
xp,com.enonic.wem.core.schema.relationship,UpdateRelationshipTypeCommandTest,updateRelationshipType,Long Statement,The length of the statement "return RelationshipType.newRelationshipType(relationshipType).fromSemantic(relationshipType.getFromSemantic() + "-updated").build();" is 132.,47
xp,com.enonic.wem.core.schema.relationship,UpdateRelationshipTypeCommandTest,edit,Long Statement,The length of the statement "return RelationshipType.newRelationshipType(relationshipType).fromSemantic(relationshipType.getFromSemantic() + "-updated").build();" is 132.,67
xp,com.enonic.wem.core.schema.relationship,GetRelationshipTypeCommandTest,getRelationshipTypes,Long Statement,The length of the statement "final RelationshipType relationshipType=RelationshipType.newRelationshipType().name(name).fromSemantic("likes").toSemantic("liked by").addAllowedFromType(ContentTypeName.from("mymodule-1.0.0:person")).addAllowedToType(ContentTypeName.from("mymodule-1.0.0:person")).build();" is 273.,32
xp,com.enonic.wem.core.schema.relationship,GetRelationshipTypeCommandTest,getRelationshipTypes,Long Statement,The length of the statement "Mockito.when(relationshipTypeDao.getRelationshipType(Mockito.eq(name))).thenReturn(RelationshipType.newRelationshipType(relationshipType));" is 139.,32
xp,com.enonic.wem.core.schema.relationship,CreateRelationshipTypeCommandTest,createRelationshipType,Long Statement,The length of the statement "final CreateRelationshipTypeParams params=new CreateRelationshipTypeParams().name("mymodule-1.0.0:like").displayName("Like").fromSemantic("likes").toSemantic("liked by").allowedFromTypes(ContentTypeNames.from("mymodule-1.0.0:person")).allowedToTypes(ContentTypeNames.from("mymodule-1.0.0:person"));" is 298.,32
xp,com.enonic.wem.core.schema.relationship,UpdateRelationshipTypeCommand,doExecute,Long Statement,The length of the statement "final RelationshipType original=new GetRelationshipTypeCommand().params(new GetRelationshipTypeParams().name(params.getName())).relationshipTypeDao(this.relationshipTypeDao).execute();" is 184.,25
xp,com.enonic.wem.core.schema.relationship,UpdateRelationshipTypeCommand,doExecute,Long Statement,The length of the statement "final RelationshipType existing=new GetRelationshipTypeCommand().params(new GetRelationshipTypeParams().name(changed.getName())).relationshipTypeDao(this.relationshipTypeDao).execute();" is 185.,25
xp,com.enonic.wem.core.schema.content,GetAllContentTypesCommandTest,handle,Long Statement,The length of the statement "final ContentTypes allContentTypes=ContentTypes.from(createContentType(contentType1Name`displayName1`description1)`createContentType(contentType2Name`displayName2`description2));" is 178.,48
xp,com.enonic.wem.core.schema.content,GetAllContentTypesCommandTest,handle,Magic Number,The method contains a magic number: 2,48
xp,com.enonic.wem.core.schema.content,GetAllContentTypesCommandTest,handle_given_mixin,Long Statement,The length of the statement "final Mixin mixin=newMixin().name("mymodule-1.0.0:my_mixin").addFormItem(newInput().name("inputToBeMixedIn").inputType(InputTypes.TEXT_LINE).build()).build();" is 158.,77
