Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_ReturnsAllValuesForSubscribedId_AndDoesNotComplete,Long Statement,The length of the statement "testObserver.awaitDone(PROVIDER_WAIT_TIME`TimeUnit.MILLISECONDS).assertNotComplete().assertNoErrors().assertValues(none()`value1`value2`value3);" is 144.,147
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_ReturnsAllValuesForSubscribedId_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,147
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_ReturnsAllValuesForSubscribedId_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,147
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_ReturnsAllValuesForSubscribedId_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,147
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_ReturnsAllValuesForSubscribedId_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,147
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_ReturnsOnlyNewValues_AndDoesNotComplete,Long Statement,The length of the statement "testObserver.awaitDone(PROVIDER_WAIT_TIME`TimeUnit.MILLISECONDS).assertNotComplete().assertNoErrors().assertValues(none()`value);" is 129.,167
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_ReturnsOnlyNewValues_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,167
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_ReturnsOnlyNewValues_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,167
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_WithInitialValue_ReturnsInitialValues_AndDoesNotComplete,Long Statement,The length of the statement "gitHubRepositoryStore.getOnceAndStream(100).test().awaitDone(PROVIDER_WAIT_TIME`TimeUnit.MILLISECONDS).assertNotComplete().assertNoErrors().assertValues(value);" is 160.,183
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_WithInitialValue_ReturnsInitialValues_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,183
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_WithInitialValue_ReturnsInitialValues_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,183
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_WithInitialValue_WithDelayedSubscription_ReturnsFirstValue_AndDoesNotComplete,Long Statement,The length of the statement "stream.test().awaitDone(PROVIDER_WAIT_TIME`TimeUnit.MILLISECONDS).assertNotComplete().assertNoErrors().assertValues(value1);" is 124.,197
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_WithInitialValue_WithDelayedSubscription_ReturnsFirstValue_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,197
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_WithInitialValue_WithDelayedSubscription_ReturnsFirstValue_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,197
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_WithInitialValue_WithDelayedSubscription_ReturnsFirstValue_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,197
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,put_WithNewData_EmitsTrue,Magic Number,The method contains a magic number: 100,228
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,put_WithDifferentData_OverExistingData_EmitsTrue,Magic Number,The method contains a magic number: 100,238
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,put_WithDifferentData_OverExistingData_EmitsTrue,Magic Number,The method contains a magic number: 100,238
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,put_WithIdenticalData_OverExistingData_EmitsFalse,Magic Number,The method contains a magic number: 100,251
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,delete_WithNoData_EmitsFalse,Long Statement,The length of the statement "gitHubRepositoryStore.delete(765).test().awaitDone(PROVIDER_WAIT_TIME`TimeUnit.MILLISECONDS).assertComplete().assertValue(false);" is 129.,263
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,delete_WithNoData_EmitsFalse,Magic Number,The method contains a magic number: 765,263
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,delete_WithData_DeletesData_AndEmitsTrue,Magic Number,The method contains a magic number: 100,272
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,delete_WithData_DeletesData_AndEmitsTrue,Magic Number,The method contains a magic number: 100,272
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,delete_WithData_DeletesData_AndEmitsTrue,Magic Number,The method contains a magic number: 100,272
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_ThenDelete_DoesNotEmit,Magic Number,The method contains a magic number: 100,291
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_ThenDelete_DoesNotEmit,Magic Number,The method contains a magic number: 100,291
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_ThenDelete_DoesNotEmit,Magic Number,The method contains a magic number: 100,291
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,create,Magic Number,The method contains a magic number: 10,306
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,create,Magic Number,The method contains a magic number: 10,306
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,UserSettingsStore,UserSettingsStore,Long Statement,The length of the statement "super(new UserSettingsStoreCore(contentResolver`gson)`__ -> userId`user -> user != null ? user : UserSettings.none()`UserSettings::none);" is 137.,42
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,NetworkRequestStatusStore,NetworkRequestStatusStore,Long Statement,The length of the statement "super(new NetworkRequestStatusStoreCore(contentResolver`gson)`status -> status.getUri().hashCode()`status -> status == null ? NetworkRequestStatus.none() : status`NetworkRequestStatus::none);" is 191.,40
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStore,GitHubRepositoryStore,Long Statement,The length of the statement "super(new GitHubRepositoryStoreCore(contentResolver`gson)`GitHubRepository::getId`repository -> repository != null ? repository : GitHubRepository.none()`GitHubRepository::none);" is 178.,40
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,put_WithTwoDifferentIds_StoresTwoValues,Magic Number,The method contains a magic number: 100,73
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,put_WithTwoDifferentIds_StoresTwoValues,Magic Number,The method contains a magic number: 200,73
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,put_WithTwoDifferentIds_StoresTwoValues,Magic Number,The method contains a magic number: 100,73
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,put_WithTwoDifferentIds_StoresTwoValues,Magic Number,The method contains a magic number: 200,73
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,put_WithTwoDifferentIds_StoresTwoValues,Magic Number,The method contains a magic number: 100,73
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,put_WithTwoDifferentIds_StoresTwoValues,Magic Number,The method contains a magic number: 200,73
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getCached_WithId_EmitsInitialValues_AndCompletes,Magic Number,The method contains a magic number: 100,99
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getCached_WithId_EmitsInitialValues_AndCompletes,Magic Number,The method contains a magic number: 100,99
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getCached_WithId_EmitsInitialValues_AndCompletes,Magic Number,The method contains a magic number: 100,99
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getCached_WithId_EmitsInitialValues_AndCompletes,Magic Number,The method contains a magic number: 100,99
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getCached_WithId_EmitsInitialValues_AndCompletes,Magic Number,The method contains a magic number: 100,99
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_WithId_EmitsValuesForId_AndDoesNotComplete,Long Statement,The length of the statement "testObserver1.awaitDone(PROVIDER_WAIT_TIME`TimeUnit.MILLISECONDS).assertNotComplete().assertNoErrors().assertValue(value1);" is 123.,118
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_WithId_EmitsValuesForId_AndDoesNotComplete,Long Statement,The length of the statement "testObserver2.awaitDone(PROVIDER_WAIT_TIME`TimeUnit.MILLISECONDS).assertNotComplete().assertNoErrors().assertValue(value2);" is 123.,118
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_WithId_EmitsValuesForId_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,118
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_WithId_EmitsValuesForId_AndDoesNotComplete,Magic Number,The method contains a magic number: 200,118
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_WithId_EmitsValuesForId_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,118
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_WithId_EmitsValuesForId_AndDoesNotComplete,Magic Number,The method contains a magic number: 200,118
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_WithId_EmitsValuesForId_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,118
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_WithId_EmitsValuesForId_AndDoesNotComplete,Magic Number,The method contains a magic number: 200,118
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_DoesNotEmitInitialValue,Long Statement,The length of the statement "testObserver.awaitDone(PROVIDER_WAIT_TIME`TimeUnit.MILLISECONDS).assertNotComplete().assertNoErrors().assertValue(value2);" is 122.,141
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_DoesNotEmitInitialValue,Magic Number,The method contains a magic number: 100,141
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_DoesNotEmitInitialValue,Magic Number,The method contains a magic number: 100,141
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_DoesNotEmitInitialValue,Magic Number,The method contains a magic number: 100,141
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_DoesNotEmitInitialValue,Magic Number,The method contains a magic number: 100,141
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_DoesNotEmitInitialValue,Magic Number,The method contains a magic number: 100,141
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getCached_WithNoId_ReturnsAllData_AndCompletes,Long Statement,The length of the statement "testObserver.awaitDone(PROVIDER_WAIT_TIME`TimeUnit.MILLISECONDS).assertComplete().assertNoErrors().assertValue(asList(value1`value2));" is 134.,160
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getCached_WithNoId_ReturnsAllData_AndCompletes,Magic Number,The method contains a magic number: 100,160
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getCached_WithNoId_ReturnsAllData_AndCompletes,Magic Number,The method contains a magic number: 200,160
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getCached_WithNoId_ReturnsAllData_AndCompletes,Magic Number,The method contains a magic number: 300,160
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getCached_WithNoId_ReturnsAllData_AndCompletes,Magic Number,The method contains a magic number: 100,160
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getCached_WithNoId_ReturnsAllData_AndCompletes,Magic Number,The method contains a magic number: 200,160
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getCached_WithNoId_ReturnsAllData_AndCompletes,Magic Number,The method contains a magic number: 300,160
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_WithNoId_ReturnsAllData_AndDoesNotComplete,Long Statement,The length of the statement "testObserver.awaitDone(PROVIDER_WAIT_TIME`TimeUnit.MILLISECONDS).assertNotComplete().assertNoErrors().assertValues(value2`value3);" is 130.,184
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_WithNoId_ReturnsAllData_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,184
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_WithNoId_ReturnsAllData_AndDoesNotComplete,Magic Number,The method contains a magic number: 200,184
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_WithNoId_ReturnsAllData_AndDoesNotComplete,Magic Number,The method contains a magic number: 300,184
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_WithNoId_ReturnsAllData_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,184
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_WithNoId_ReturnsAllData_AndDoesNotComplete,Magic Number,The method contains a magic number: 200,184
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,getStream_WithNoId_ReturnsAllData_AndDoesNotComplete,Magic Number,The method contains a magic number: 300,184
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,create,Magic Number,The method contains a magic number: 10,207
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores.cores,GitHubRepositoryStoreCoreTest,create,Magic Number,The method contains a magic number: 10,207
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data,DataStoreModule,provideApplicationDataLayer,Long Parameter List,The method has 5 parameters. ,73
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data,DataStoreModule,provideApplicationDataLayer,Long Statement,The length of the statement "return new DataLayer(context`userSettingsStore`networkRequestStatusStore`gitHubRepositoryStore`gitHubRepositorySearchStore);" is 124.,73
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data,DataLayer,DataLayer,Long Parameter List,The method has 5 parameters. ,47
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.network,FetcherModule,provideGitHubRepositorySearchFetcher,Long Statement,The length of the statement "return new GitHubRepositorySearchFetcher(networkApi`networkRequestStatusStore::put`gitHubRepositoryStore`gitHubRepositorySearchStore);" is 134.,59
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.network,FetcherModule,provideUriFetcherManager,Long Statement,The length of the statement "return new UriFetcherManager.Builder().fetchers(Arrays.asList(gitHubRepositoryFetcher`gitHubRepositorySearchFetcher)).build();" is 126.,71
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.fragments,RepositoryFragment,onViewCreated,Long Statement,The length of the statement "view.findViewById(R.id.repository_fragment_choose_repository_button).setOnClickListener(e -> ((MainActivity)getActivity()).chooseRepository());" is 143.,66
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.fragments,RepositoriesFragment,onCreate,Long Statement,The length of the statement "repositoriesViewModel.getSelectRepository().subscribe(repository -> ((ChooseRepositoryActivity)getActivity()).chooseRepository(repository.getId()));" is 148.,54
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.fragments,RepositoriesFragment,onViewCreated,Long Statement,The length of the statement "repositoriesViewBinder=new ViewBinder((RepositoriesView)view.findViewById(R.id.repositories_view)`repositoriesViewModel);" is 121.,71
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.widget,WidgetService,updateWidget,Long Statement,The length of the statement "compositeDisposable.add(getUserSettings.call().map(UserSettings::getSelectedRepositoryId).doOnNext(repositoryId -> Log.d(TAG`"Changed repository to " + repositoryId)).switchMap(fetchAndGetGitHubRepository::call).filter(DataStreamNotification::isOnNext).map(DataStreamNotification::getValue).subscribeOn(Schedulers.io()).observeOn(AndroidSchedulers.mainThread()).subscribe(repository -> {" is 387.,79
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.utils,StethoInstrumentation,initStetho,Long Statement,The length of the statement "initialize(newInitializerBuilder(context).enableDumpapp(defaultDumperPluginsProvider(context)).enableWebKitInspector(defaultInspectorModulesProvider(context)).build());" is 168.,52
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoryViewModel,subscribeToDataStoreInternal,Long Statement,The length of the statement "compositeDisposable.add(getUserSettings.call().map(UserSettings::getSelectedRepositoryId).switchMap(fetchAndGetGitHubRepository::call).filter(DataStreamNotification::isOnNext).map(DataStreamNotification::getValue).subscribe(repository::onNext));" is 245.,60
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModel,subscribeToDataStoreInternal,Long Statement,The length of the statement "ConnectableObservable<DataStreamNotification<GitHubRepositorySearch>> repositorySearchSource=searchString.debounce(SEARCH_INPUT_DELAY`TimeUnit.MILLISECONDS).distinctUntilChanged().filter(value -> value.length() > 2).doOnNext(value -> Log.d(TAG`"Searching with: " + value)).switchMap(getGitHubRepositorySearch::call).publish();" is 326.,125
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModel,subscribeToDataStoreInternal,Long Statement,The length of the statement "compositeDisposable.add(repositorySearchSource.map(toProgressStatus()).doOnNext(progressStatus -> Log.d(TAG`"Progress status: " + progressStatus.name())).subscribe(this::setNetworkStatusText));" is 193.,125
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModel,subscribeToDataStoreInternal,Long Statement,The length of the statement "compositeDisposable.add(repositorySearchSource.filter(DataStreamNotification::isOnNext).map(DataStreamNotification::getValue).map(GitHubRepositorySearch::getItems).flatMap(toGitHubRepositoryList()).doOnNext(list -> Log.d(TAG`"Publishing " + list.size() + " repositories from the ViewModel")).subscribe(repositories::onNext));" is 325.,125
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModel,subscribeToDataStoreInternal,Magic Number,The method contains a magic number: 2,125
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModel,toGitHubRepositoryList,Long Statement,The length of the statement "return repositoryIds -> Observable.fromIterable(repositoryIds).take(MAX_REPOSITORIES_DISPLAYED).map(this::getGitHubRepositoryObservable).toList().toObservable().flatMap(RxUtils::toObservableList);" is 196.,155
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModel,getGitHubRepositoryObservable,Long Statement,The length of the statement "return getGitHubRepository.call(repositoryId).doOnNext((repository) -> Log.v(TAG`"Received repository " + repository.getId()));" is 127.,165
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModelTest,setUp,Long Statement,The length of the statement "viewModel=new RepositoriesViewModel(mock(GetGitHubRepositorySearch.class)`__ -> Observable.just(mock(GitHubRepository.class)));" is 127.,57
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModelTest,testTooManyRepositoriesAreCappedToFive,Magic Number,The method contains a magic number: 2,80
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModelTest,testTooManyRepositoriesAreCappedToFive,Magic Number,The method contains a magic number: 3,80
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModelTest,testTooManyRepositoriesAreCappedToFive,Magic Number,The method contains a magic number: 4,80
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModelTest,testTooManyRepositoriesAreCappedToFive,Magic Number,The method contains a magic number: 5,80
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModelTest,testTooManyRepositoriesAreCappedToFive,Magic Number,The method contains a magic number: 6,80
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModelTest,testTooManyRepositoriesAreCappedToFive,Magic Number,The method contains a magic number: 5,80
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModelTest,testTooLittleRepositoriesReturnThoseRepositories,Magic Number,The method contains a magic number: 2,92
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModelTest,testTooLittleRepositoriesReturnThoseRepositories,Magic Number,The method contains a magic number: 3,92
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModelTest,testTooLittleRepositoriesReturnThoseRepositories,Magic Number,The method contains a magic number: 4,92
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModelTest,testTooLittleRepositoriesReturnThoseRepositories,Magic Number,The method contains a magic number: 5,92
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoriesViewModelTest,testTooLittleRepositoriesReturnThoseRepositories,Magic Number,The method contains a magic number: 5,92
tehmou_rx-android-architecture,io.reark.rxgithubapp.shared.viewmodels,RepositoryViewModelTest,testRepositoryViewModelFetchesValidGitHubRepository,Long Statement,The length of the statement "RepositoryViewModel repositoryViewModel=new RepositoryViewModel(() -> Observable.just(new UserSettings(1))`repositoryId -> Observable.just(DataStreamNotification.onNext(testRepository)));" is 187.,45
