Commit,HWD,GS,ED,LDV,Total
da4b1b1d4fdf2760db9d43739f571fb2522bbde1,144,137,88,1190,1559
eea1ea20dd65b1afc982f4c0f38e3d1f39bd80a8,10,1273,796,57,2136
f88af6565d515614f8383ea8d1e31e65b152e1b8,5,71,43,0,119
b92c61faeaff577eb8ac051b4ab349f423dff7e3,4,591,258,30,883
265f5c76f6d44e06fc492f4b020bd2811441fe2a,5,647,307,27,986
411c89d442a03a62ea100456c3e1c1cd5611e206,0,0,1,0,1
53e899e4b57213b595ef4dc9831cd9fc6028050d,5,637,310,26,978
0785a9271db6bd34e1923065ec3951a1b7be6e13,4,469,209,18,700
9ab31f62229e601af070fc90bc2fb2eb77ecf158,5,127,37,0,169
8c98033b185bd65de7b2348ef430a065e34b4e7f,2,96,11,0,109
a8ec52200a91832e13744f925c395a0423f5901f,150,159,107,1629,2045
5717bbd729a922ba067315441a94b6d0ce970401,5,116,33,0,154
876693d05d482321ade6fc7cf85f48564cf41f7a,3,370,199,13,585
e7a397e3ecc47aa4231160f741506da1ef28ddc8,6,117,30,0,153
8086462f7c16da45b117ab3afb1c9c0da9612d02,6,438,193,18,655
e99b92951a8c0f2c1cf4f6811223c344dd528307,5,84,47,0,136
75eded93aceafc3257848e9b50bbd59814baf012,4,591,257,28,880
576c7386661933562f216d24d92196e5ab86c816,187,279,179,2188,2833
0a3acbac8faa36105592189222f68920d4d0e116,5,711,372,27,1115
72ba7dc36f92ac68000b38918cbd72cf1c97f81c,6,394,210,13,623
0b816567b41466eb0a12b6e3e1b837c1672059ca,5,477,204,21,707
3260bc55bd48b60186f1d65172e7d778b3ab523a,4,591,258,30,883
70658eb00a1b465b40230ab2588926a4a7747f52,5,775,448,31,1259
6f16370052d849514ba526d15358cd48c76c33f3,182,273,166,2040,2661
719861b6382c436cf572b0e6e84b8e51ef4de5de,5,66,42,0,113
64d7dd2b62d5eef9c52851a1bb0448588eb468df,182,269,166,2040,2657
ce28507a5278dfa08d5303958e911f7bf291bd79,4,74,46,0,124
462b791471de3f8741c07ab6cd19700cafdada13,160,193,133,1811,2297
9b002b50fe101f24f9f36b261229af552e2003b8,4,137,78,3,222
bc5a37a16b8599f48e480310b29d3823be2ef93e,4,747,418,28,1197
cfe442e88a549292e35d178f0f3d32dafb4caf5c,4,511,234,26,775
3f372ae368e5b3ff6ed9036c0c218cfea996514f,4,101,23,0,128
86a7e7bbac949b5b15034f9f7b67fd5a96da7966,7,928,578,43,1556
520485e038ec8376430cdb28ec165fc15228fd8e,152,150,96,1543,1941
e352e82dd4b1df5a6e3aa3d8ab411121ff631675,5,663,339,26,1033
a1adbd23d00ce83bb53625312a665e2c647917c4,3,393,189,13,598
bc32fbbbffb932f9084f97c7a2fcba472a3d451f,147,159,105,1608,2019
aa8db9b36da093dd128d551a210ff276bf0dafb7,6,877,550,33,1466
eb3a67de77e4a5cf0351ac396c9915e7f798220b,0,0,0,0,0
6430ba31759c77c020a48964f9718d8e195a115a,4,121,30,0,155
7eb36085f8f42580f91d75093f06ef7e1877f28e,8,327,171,11,517
