Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,GuardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 15,151
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,GuardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 5,151
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,GuardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 18,151
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,GuardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 6,151
oxo42_stateless4j,com.github.oxo42.stateless4j,StateRepresentationTests,WhenTransitioningFromSubToSuperstate_SubstateEntryActionsExecuted,Long Statement,The length of the statement "Transition<State`Trigger> transition=new Transition<>(superState.getUnderlyingState()`sub.getUnderlyingState()`Trigger.X);" is 122.,139
oxo42_stateless4j,com.github.oxo42.stateless4j,StateRepresentationTests,WhenTransitioningFromSubToSuperstate_SubstateExitActionsExecuted,Long Statement,The length of the statement "Transition<State`Trigger> transition=new Transition<>(sub.getUnderlyingState()`superState.getUnderlyingState()`Trigger.X);" is 122.,158
oxo42_stateless4j,com.github.oxo42.stateless4j,StateRepresentationTests,WhenTransitioningToSuperFromSubstate_SuperEntryActionsNotExecuted,Long Statement,The length of the statement "Transition<State`Trigger> transition=new Transition<>(superState.getUnderlyingState()`sub.getUnderlyingState()`Trigger.X);" is 122.,178
oxo42_stateless4j,com.github.oxo42.stateless4j,StateRepresentationTests,WhenTransitioningFromSuperToSubstate_SuperExitActionsNotExecuted,Long Statement,The length of the statement "Transition<State`Trigger> transition=new Transition<>(superState.getUnderlyingState()`sub.getUnderlyingState()`Trigger.X);" is 122.,198
oxo42_stateless4j,com.github.oxo42.stateless4j,StateRepresentationTests,EntryActionsExecuteInOrder,Magic Number,The method contains a magic number: 2,258
oxo42_stateless4j,com.github.oxo42.stateless4j,StateRepresentationTests,ExitActionsExecuteInOrder,Magic Number,The method contains a magic number: 2,287
