Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisMessageHandlerTests,testKinesisMessageHandler,Long Statement,The length of the statement "ArgumentCaptor<AsyncHandler<PutRecordRequest`PutRecordResult>> asyncHandlerArgumentCaptor=ArgumentCaptor.forClass((Class<AsyncHandler<PutRecordRequest`PutRecordResult>>)(Class<?>)AsyncHandler.class);" is 199.,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisMessageHandlerTests,testKinesisMessageHandler,Long Statement,The length of the statement "verify(this.amazonKinesis).putRecordAsync(putRecordRequestArgumentCaptor.capture()`asyncHandlerArgumentCaptor.capture());" is 121.,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisMessageHandlerTests,testKinesisMessageHandler,Long Statement,The length of the statement "message2=new GenericMessage<>(new PutRecordsRequest().withStreamName("myStream").withRecords(new PutRecordsRequestEntry().withData(ByteBuffer.wrap("test".getBytes())).withPartitionKey("testKey")));" is 197.,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisMessageHandlerTests,testKinesisMessageHandler,Long Statement,The length of the statement "assertThat(putRecordsRequest.getRecords()).containsExactlyInAnyOrder(new PutRecordsRequestEntry().withData(ByteBuffer.wrap("test".getBytes())).withPartitionKey("testKey"));" is 172.,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,SnsMessageBuilderTests,testSnsMessageBuilder,Long Statement,The length of the statement "assertThatIllegalArgumentException().isThrownBy(() -> SnsBodyBuilder.withDefault("")).withMessageContaining("defaultMessage must not be empty.");" is 145.,31
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,SnsMessageBuilderTests,testSnsMessageBuilder,Long Statement,The length of the statement "assertThatIllegalArgumentException().isThrownBy(() -> SnsBodyBuilder.withDefault("foo").forProtocols("{\"foo\" : \"bar\"}").build()).withMessageContaining("protocols must not be empty.");" is 187.,31
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,SnsMessageBuilderTests,testSnsMessageBuilder,Long Statement,The length of the statement "assertThatIllegalArgumentException().isThrownBy(() -> SnsBodyBuilder.withDefault("foo").forProtocols("{\"foo\" : \"bar\"}"`"").build()).withMessageContaining("protocols must not contain empty elements.");" is 204.,31
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testUploadFile,Long Identifier,The length of the identifier putObjectRequestArgumentCaptor is 30.,148
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testUploadFile,Long Identifier,The length of the identifier setObjectAclRequestArgumentCaptor is 33.,148
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testUploadFile,Long Statement,The length of the statement "Message<?> message=MessageBuilder.withPayload(file).setHeader("s3Command"`S3MessageHandler.Command.UPLOAD.name()).build();" is 122.,148
